City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,sao vicente,-23.9631,-46.3919,20.15,26,80,1.18,BR,1690879511
188,vallo della lucania,40.2297,15.2658,28.08,55,2,2.6,IT,1690879577
189,badger,64.8,-147.5333,18.95,81,40,0.0,US,1690879577
190,ust-nera,64.5667,143.2,11.72,80,90,2.9,RU,1690879577
191,touros,-5.1989,-35.4608,21.7,92,13,4.5,BR,1690879469
192,caleta de carquin,-11.0925,-77.6267,18.57,85,47,3.07,PE,1690879578
193,kalianget,-7.05,113.9333,28.07,67,23,7.01,ID,1690879579
194,lafia,8.4833,8.5167,25.25,89,100,3.68,NG,1690879579
195,sterling,39.0062,-77.4286,19.57,82,0,1.54,US,1690879556
196,moree,-29.4667,149.85,14.45,37,0,3.58,AU,1690879580
197,steinbach,50.1667,8.5667,20.19,83,0,3.09,DE,1690879284
198,callao,-12.0667,-77.15,20.4,77,100,2.57,PE,1690879585
199,vorgashor,67.5833,63.95,24.48,46,53,2.99,RU,1690879585
200,pangody,65.85,74.4859,24.64,51,74,4.26,RU,1690879586
201,mao,39.8885,4.2658,28.31,74,20,3.6,ES,1690879586
202,calingasta,-31.3308,-69.4078,11.57,20,0,1.07,AR,1690879586
203,cidade velha,14.9167,-23.6167,26.26,83,40,1.03,CV,1690879587
204,sume,-7.6717,-36.88,16.63,94,21,1.62,BR,1690879587
205,afaahiti,-17.75,-149.2833,21.93,76,63,6.85,PF,1690879588
206,mejit,10.2753,170.8646,28.45,76,97,6.4,MH,1690879588
207,iaciara,-14.0958,-46.6317,18.07,59,0,0.76,BR,1690879588
208,aasiaat,68.7098,-52.8699,2.94,98,100,1.62,GL,1690879589
209,thunder bay,48.4001,-89.3168,11.95,94,100,1.54,CA,1690879317
210,homer,59.6425,-151.5483,14.87,88,0,1.54,US,1690879589
211,holbeach,52.804,0.0144,17.23,73,100,7.72,GB,1690879590
212,pico truncado,-46.7949,-67.9573,6.25,49,0,23.94,AR,1690879590
213,kavaratti,10.5669,72.642,28.37,74,78,8.24,IN,1690879591
214,lazaro cardenas,17.9583,-102.2,27.46,80,100,1.26,MX,1690879591
215,happy valley-goose bay,53.3168,-60.3315,13.17,94,100,1.54,CA,1690879591
216,hatillo,18.4863,-66.8254,26.71,92,100,0.45,PR,1690879451
217,linxia chengguanzhen,35.6003,103.2064,27.87,42,66,3.36,CN,1690879592
218,trevelin,-43.0858,-71.4639,5.71,94,82,3.29,AR,1690879592
219,ceerigaabo,10.6162,47.368,24.1,46,73,9.08,SO,1690879593
220,chongwe,-15.3292,28.682,21.32,35,47,4.99,ZM,1690879593
221,burang,30.25,81.1667,19.09,50,51,4.68,CN,1690879594
222,bullsbrook,-31.6667,116.0,23.03,27,0,6.17,AU,1690879594
223,balabac,7.9868,117.0645,29.76,71,41,4.54,PH,1690879594
224,olenino,56.2092,33.4889,23.73,55,61,1.84,RU,1690879595
225,talnakh,69.4865,88.3972,26.23,44,5,1.33,RU,1690879595
226,labytnangi,66.6572,66.4183,20.73,66,100,3.64,RU,1690879595
227,puerto ayacucho,5.6639,-67.6236,22.36,95,61,1.59,VE,1690879596
228,bardai,11.65,7.2333,25.64,65,100,6.99,NG,1690879596
229,helena valley southeast,46.6153,-111.9216,24.08,34,0,3.6,US,1690879597
230,isla mujeres,21.2311,-86.731,26.03,84,38,3.51,MX,1690879597
231,baruun-urt,46.6806,113.2792,27.97,47,88,4.4,MN,1690879598
232,broken hill,-31.95,141.4333,13.26,58,0,3.8,AU,1690879598
233,kawm hamadah,30.761,30.6973,35.68,21,0,3.26,EG,1690879598
234,shevchenkove,49.6959,37.1735,26.52,49,88,1.31,UA,1690879599
235,okhotsk,59.3833,143.3,13.86,82,100,1.47,RU,1690879599
236,santa cruz,-17.8,-63.1667,19.7,83,0,1.54,BO,1690879394
237,koulamoutou,-1.1303,12.4736,29.92,50,53,1.57,GA,1690879600
238,prince rupert,54.3161,-130.3201,13.83,98,100,1.54,CA,1690879600
239,ahar,38.4774,47.0699,29.39,29,0,2.08,IR,1690879601
240,hithadhoo,-0.6,73.0833,27.98,71,68,2.47,MV,1690879601
241,tyukhtet,56.5389,89.3011,24.65,61,77,1.14,RU,1690879601
242,kerikeri,-35.2268,173.9474,8.84,88,5,2.49,NZ,1690879602
243,avarua,-21.2078,-159.775,22.03,94,75,3.09,CK,1690879602
244,island harbour,50.724,-1.2758,18.59,83,10,2.68,GB,1690879602
245,east london,-33.0153,27.9116,15.52,47,0,8.75,ZA,1690879603
246,jinka,5.65,36.65,20.5,80,89,1.6,ET,1690879603
247,shanga,11.2106,4.5788,23.97,87,100,2.84,NG,1690879603
248,saint-joseph,-21.3667,55.6167,25.26,74,11,3.62,RE,1690879595
249,sitapur,27.5667,80.6833,37.34,44,69,2.93,IN,1690879604
250,poli,-3.3333,36.8,17.15,47,43,4.48,TZ,1690879605
251,hobyo,5.3505,48.5268,27.99,65,100,10.65,SO,1690879605
252,egilsstadir,65.2653,-14.3948,8.95,87,75,1.03,IS,1690879605
253,tucuma,-0.1833,-50.05,24.14,92,6,1.86,BR,1690879606
254,dhidhdhoo,6.8833,73.1,28.42,76,100,6.93,MV,1690879606
255,san luis de la loma,17.2706,-100.8939,26.14,85,100,1.95,MX,1690879607
256,gbarnga,6.9956,-9.4722,22.92,96,100,1.13,LR,1690879607
257,mukalla,14.5425,49.1242,35.67,44,79,9.87,YE,1690879608
258,song cau,13.45,109.2167,28.93,72,100,3.96,VN,1690879608
259,bubaque,11.2833,-15.8333,27.32,82,86,8.15,GW,1690879608
260,crescent city,41.756,-124.2018,14.05,95,20,3.09,US,1690879609
261,mar del plata,-38.0023,-57.5575,12.83,92,18,5.14,AR,1690879609
262,kota belud,6.351,116.4305,30.8,62,12,3.12,MY,1690879609
263,carloforte,39.145,8.3058,25.95,70,0,6.85,IT,1690879610
264,san patricio,28.017,-97.5169,29.36,90,99,2.34,US,1690879610
265,herceg novi,42.4531,18.5375,31.71,45,0,1.03,ME,1690879611
266,daltonganj,24.0333,84.0667,35.59,50,100,1.59,IN,1690879611
267,bartica,6.4,-58.6167,25.18,99,88,0.61,GY,1690879611
268,mount gambier,-37.8333,140.7667,9.47,82,62,0.87,AU,1690879612
269,klaksvik,62.2266,-6.589,12.51,92,100,5.45,FO,1690879612
270,labrador city,52.9463,-66.9114,3.95,100,75,1.54,CA,1690879613
271,mugia,43.1041,-9.2179,20.51,96,100,3.63,ES,1690879613
272,ochakiv,46.6128,31.5498,24.94,55,83,2.0,UA,1690879613
273,qamdo,31.1667,97.2333,16.67,44,100,1.73,CN,1690879614
274,cockburn town,21.4612,-71.1419,28.63,77,100,7.08,TC,1690879614
275,aki,33.5,133.9,29.97,83,21,2.24,JP,1690879615
276,aquitania,5.5197,-72.8875,8.16,98,99,1.01,CO,1690879615
277,cao bang,22.6667,106.25,27.31,95,100,1.49,VN,1690879615
278,srandakan,-7.9386,110.2506,26.28,74,1,5.81,ID,1690879616
279,nova sintra,14.8667,-24.7167,23.02,85,29,4.08,CV,1690879616
280,tamanrasset,22.785,5.5228,36.95,8,0,8.23,DZ,1690879616
281,geraldton,-28.7667,114.6,22.23,33,0,5.14,AU,1690879617
282,crane,31.3974,-102.3501,28.41,45,93,5.81,US,1690879618
283,daru,-9.0763,143.2092,25.09,84,84,7.41,PG,1690879618
284,greenland,43.0362,-70.8328,17.19,84,20,2.06,US,1690879618
285,mount isa,-20.7333,139.5,22.87,31,0,3.09,AU,1690879619
286,fedorovka,53.6314,62.7078,26.63,48,86,2.67,KZ,1690879619
287,harper,4.375,-7.7169,24.63,88,100,4.33,LR,1690879619
288,nadym,65.5333,72.5167,24.38,46,88,2.99,RU,1690879620
289,urangan,-25.3,152.9,20.67,73,9,3.89,AU,1690879553
290,vilyuchinsk,52.9306,158.4028,13.15,86,72,1.09,RU,1690879621
291,saint-francois,46.4154,3.9054,21.69,64,100,6.17,FR,1690879621
292,ancud,-41.8697,-73.8203,8.31,76,93,7.64,CL,1690879622
293,mandalgovi,45.7625,106.2708,22.38,60,100,4.29,MN,1690879622
294,petropavlivka,48.4564,36.4367,31.57,29,32,3.03,UA,1690879622
295,nacozari de garcia,30.3742,-109.6908,23.76,51,0,1.16,MX,1690879623
296,tongouson,5.0214,120.1328,28.91,75,83,4.18,PH,1690879623
297,duba,27.3513,35.6901,32.88,52,1,5.36,SA,1690879624
298,krasnyy chikoy,50.3643,108.7512,32.02,39,81,1.94,RU,1690879624
299,sirte,31.2089,16.5887,29.81,58,0,3.14,LY,1690879625
300,pascagoula,30.3658,-88.5561,27.03,96,0,0.0,US,1690879528
301,ji'an,27.1172,114.9793,32.9,55,34,1.53,CN,1690879625
302,aioun,16.6614,-9.6149,32.53,46,86,4.81,MR,1690879626
303,wanning,18.8003,110.3967,29.44,81,100,2.63,CN,1690879626
304,praia da vitoria,38.7333,-27.0667,24.86,94,20,3.16,PT,1690879627
305,santa elena,-2.2333,-80.85,21.72,84,74,2.0,EC,1690879627
306,jebrail,39.3992,47.0283,30.69,37,0,3.78,AZ,1690879628
307,koani,-6.1333,39.2833,28.95,53,8,5.49,TZ,1690879628
308,la passe,45.5549,-0.8967,21.13,68,88,6.98,FR,1690879629
309,juba,4.8517,31.5825,24.3,78,100,0.33,SS,1690879565
310,jianshui,23.6363,102.8264,25.61,79,100,2.25,CN,1690879629
311,rikaze,29.25,88.8833,24.89,28,94,2.59,CN,1690879630
312,port augusta,-32.5,137.7667,11.82,77,0,3.85,AU,1690879630
313,kolonia,50.9333,6.95,19.42,77,75,6.69,DE,1690879630
314,tazacorte,28.629,-17.9293,25.64,72,0,7.2,ES,1690879631
315,gogosu,44.3739,22.5931,28.7,42,6,1.56,RO,1690879631
316,pacocha,-17.5833,-71.3333,16.64,81,0,2.01,PE,1690879632
317,el calafate,-50.3408,-72.2768,2.8,88,82,7.78,AR,1690879632
318,palmerstown,51.4158,-3.2404,18.14,73,40,6.69,GB,1690879632
319,queenstown,-31.8976,26.8753,8.17,53,8,0.48,ZA,1690879633
320,buala,-8.145,159.5921,25.89,87,93,4.99,SB,1690879633
321,leh,34.1667,77.5833,23.18,25,67,1.3,IN,1690879633
